lemma,sense1,sense2,distLEX,distMW,distOpti,syn1,syn2
angle,PWN-angle-v-5,PWN-angle-v-4,15,18,1,00680485-v,01141612-v
angle,PWN-angle-v-5,PWN-angle-v-3,15,18,1,00680485-v,01319346-v
angle,PWN-angle-v-5,PWN-angle-v-2,1,1,0.0611111111111111,00680485-v,02038357-v
angle,PWN-angle-v-5,PWN-angle-v-1,1,2,0.0888888888888889,00680485-v,02044866-v
angle,PWN-angle-v-5,PWN-angle-n-2,3,5,0.238888888888889,00680485-v,06211078-n
angle,PWN-angle-v-5,PWN-angle-n-3,15,18,1,00680485-v,09702673-n
angle,PWN-angle-v-5,PWN-angle-n-1,2,2,0.122222222222222,00680485-v,13887509-n
angle,PWN-angle-v-4,PWN-angle-v-3,1,1,0.0611111111111111,01141612-v,01319346-v
angle,PWN-angle-v-4,PWN-angle-v-2,15,18,1,01141612-v,02038357-v
angle,PWN-angle-v-4,PWN-angle-v-1,15,18,1,01141612-v,02044866-v
angle,PWN-angle-v-4,PWN-angle-n-2,15,18,1,01141612-v,06211078-n
angle,PWN-angle-v-4,PWN-angle-n-3,15,18,1,01141612-v,09702673-n
angle,PWN-angle-v-4,PWN-angle-n-1,15,18,1,01141612-v,13887509-n
angle,PWN-angle-v-3,PWN-angle-v-2,15,18,1,01319346-v,02038357-v
angle,PWN-angle-v-3,PWN-angle-v-1,15,18,1,01319346-v,02044866-v
angle,PWN-angle-v-3,PWN-angle-n-2,15,18,1,01319346-v,06211078-n
angle,PWN-angle-v-3,PWN-angle-n-3,15,18,1,01319346-v,09702673-n
angle,PWN-angle-v-3,PWN-angle-n-1,15,18,1,01319346-v,13887509-n
angle,PWN-angle-v-2,PWN-angle-v-1,0,1,0.0277777777777778,02038357-v,02044866-v
angle,PWN-angle-v-2,PWN-angle-n-2,2,4,0.177777777777778,02038357-v,06211078-n
angle,PWN-angle-v-2,PWN-angle-n-3,15,18,1,02038357-v,09702673-n
angle,PWN-angle-v-2,PWN-angle-n-1,1,1,0.0611111111111111,02038357-v,13887509-n
angle,PWN-angle-v-1,PWN-angle-n-2,2,4,0.177777777777778,02044866-v,06211078-n
angle,PWN-angle-v-1,PWN-angle-n-3,15,18,1,02044866-v,09702673-n
angle,PWN-angle-v-1,PWN-angle-n-1,1,1,0.0611111111111111,02044866-v,13887509-n
angle,PWN-angle-n-2,PWN-angle-n-3,15,18,1,06211078-n,09702673-n
angle,PWN-angle-n-2,PWN-angle-n-1,1,3,0.116666666666667,06211078-n,13887509-n
angle,PWN-angle-n-3,PWN-angle-n-1,15,18,1,09702673-n,13887509-n
band,PWN-band-v-2,PWN-band-v-1,1,18,0.533333333333333,01297401-v,01304342-v
band,PWN-band-v-2,PWN-band-n-7,2,18,0.566666666666667,01297401-v,02784218-n
band,PWN-band-v-2,PWN-band-n-4,2,18,0.566666666666667,01297401-v,02784732-n
band,PWN-band-v-2,PWN-band-n-13,2,18,0.566666666666667,01297401-v,02784998-n
band,PWN-band-v-2,PWN-band-n-12,1,1,0.0611111111111111,01297401-v,02785191-n
band,PWN-band-v-2,PWN-band-n-11,2,18,0.566666666666667,01297401-v,02785365-n
band,PWN-band-v-2,PWN-band-n-10,3,18,0.6,01297401-v,02785570-n
band,PWN-band-v-2,PWN-band-n-9,3,18,0.6,01297401-v,04092609-n
band,PWN-band-v-2,PWN-band-n-3,3,18,0.6,01297401-v,04680465-n
band,PWN-band-v-2,PWN-band-n-8,8,18,0.766666666666667,01297401-v,05267211-n
band,PWN-band-v-2,PWN-band-n-6,4,18,0.633333333333333,01297401-v,06260518-n
band,PWN-band-v-2,PWN-band-n-1,15,18,1,01297401-v,08240169-n
band,PWN-band-v-2,PWN-band-n-2,15,18,1,01297401-v,08249038-n
band,PWN-band-v-2,PWN-band-n-5,15,18,1,01297401-v,08249960-n
band,PWN-band-v-1,PWN-band-n-7,1,2,0.0888888888888889,01304342-v,02784218-n
band,PWN-band-v-1,PWN-band-n-4,1,1,0.0611111111111111,01304342-v,02784732-n
band,PWN-band-v-1,PWN-band-n-13,1,1,0.0611111111111111,01304342-v,02784998-n
band,PWN-band-v-1,PWN-band-n-12,2,18,0.566666666666667,01304342-v,02785191-n
band,PWN-band-v-1,PWN-band-n-11,1,1,0.0611111111111111,01304342-v,02785365-n
band,PWN-band-v-1,PWN-band-n-10,2,2,0.122222222222222,01304342-v,02785570-n
band,PWN-band-v-1,PWN-band-n-9,2,2,0.122222222222222,01304342-v,04092609-n
band,PWN-band-v-1,PWN-band-n-3,2,3,0.15,01304342-v,04680465-n
band,PWN-band-v-1,PWN-band-n-8,7,3,0.316666666666667,01304342-v,05267211-n
band,PWN-band-v-1,PWN-band-n-6,3,3,0.183333333333333,01304342-v,06260518-n
band,PWN-band-v-1,PWN-band-n-1,15,18,1,01304342-v,08240169-n
band,PWN-band-v-1,PWN-band-n-2,15,18,1,01304342-v,08249038-n
